attributes.name,type,attributes.male_weight.max,attributes.traits.apartment_friendly
Affenpinscher,breed,6,5.0
Basset Hound,breed,29,4.0
American Hairless Terrier,breed,6,4.0
Australian Terrier,breed,7,4.0
Beagle,breed,14,3.0
Alaskan Klee Kai,breed,10,3.0
Basenji,breed,11,3.0
American Eskimo Dog,breed,20,3.0
American Staffordshire Terrier,breed,40,3.0
Australian Cattle Dog,breed,23,2.0
Basset Fauve de Bretagne,breed,19,2.0
Barbet,breed,27,2.0
Barbado da Terceira,breed,30,2.0
Azawakh,breed,25,2.0
Australian Stumpy Tail Cattle Dog,breed,20,2.0
Australian Shepherd,breed,30,2.0
Bearded Collie,breed,25,2.0
Afghan Hound,breed,27,2.0
American Water Spaniel,breed,20,2.0
American Bulldog,breed,50,2.0
Akita,breed,60,2.0
Airedale Terrier,breed,23,2.0
Australian Kelpie,breed,20,1.0
Appenzeller Sennenhund,breed,32,1.0
American Leopard Hound,breed,34,1.0
American Foxhound,breed,32,1.0
American English Coonhound,breed,29,1.0
Alaskan Malamute,breed,39,1.0
Anatolian Shepherd Dog,breed,70,1.0
Bavarian Mountain Scent Hound,breed,30,0.0
