name,source,mtime,size,md5,crc32,sha1,format,rotation,original,pdf_module_version,btih,ocr_module_version,ocr_converted,cloth_cover_detection_module_version,filecount,summation,hocr_char_to_word_module_version,hocr_char_to_word_hocr_version,hocr_pageindex_module_version,hocr_pageindex_hocr_version,hocr_fts_text_module_version,hocr_fts_text_hocr_version,word_conf_0_10,word_conf_11_20,word_conf_21_30,word_conf_31_40,word_conf_41_50,word_conf_51_60,word_conf_61_70,word_conf_71_80,word_conf_81_90,word_conf_91_100,hocr_pagenumber_module_version,hocr_pagenumber_hocr_version,hocr_pagenumber_confidence
__ia_thumb.jpg,original,1658091379,11565,f8ead55a898ab8368ef2a2f3d2b24dd8,902ded57,83673b39964b6717ea68276b8fc7268767303514,Item Tile,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft.epub,derivative,1703455984,320714,7268f099964ed76193f08583eae682c4,e4a12b9d,e2dceecd28ca987a597ae9dc8d7898a7b40436ae,EPUB,,frenchenglishmed00gorduoft_abbyy.gz,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft.gif,derivative,1292845553,294698,205563c885460855967cdb731a468592,78ca7f75,20efc6a1a4e00268be4333b4596fef08f1b25824,Animated GIF,,frenchenglishmed00gorduoft_jp2.zip,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft.pdf,derivative,1697474395,16718623,f866c09b4a552456d41b1b4ea513183b,69cebe00,ea87ab26a4a325e1c1ced003a012f7b87f08e97c,Text PDF,,frenchenglishmed00gorduoft_page_numbers.json,0.0.23,,,,,,,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft_abbyy.gz,derivative,1292854110,9464944,412fd3b6c60b2cc41e354ad9d8d48ff3,4636a3a8,c9fbdda7f2cf8bffb60ca9a47dd9d86f991811c1,Abbyy GZ,,frenchenglishmed00gorduoft_jp2.zip,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft_archive.torrent,metadata,1742368888,11042,831262dfc30125260018cb12205cf49c,0e2d9d2b,2edc55021a2b0419aaf45eca40a7b45131ab2bb4,Archive BitTorrent,,,,2f75ab706bdb9812315f5d8b745887fe3a508112,,,,,,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft_chocr.html.gz,derivative,1697468027,7434896,a0ead0cac5f374472dee13c1f1a926ad,31420a3c,8d228239ffdfd92033f2c5c02530c699c8da23dc,chOCR,,frenchenglishmed00gorduoft_abbyy.gz,,,0.0.21,abbyy-to-hocr 1.1.37,,,,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft_cloth_detection.log,derivative,1697469453,797,9b12e0e7326740a11c3b951087f75b4f,1716385a,fd881782ebbe6ca8bbbf7deb5778abbccb43e314,Cloth Cover Detection Log,,frenchenglishmed00gorduoft_scandata.xml,,,,,1.2,,,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft_daisy.zip,derivative,1710081521,438645,a91abb9903a958abe33e45ceec8a574e,d27f3a2e,6cf13b4024b1c700e223e38d1f4fb928e61c36a7,Daisy,,frenchenglishmed00gorduoft_abbyy.gz,,,,,,9,,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft_dc.xml,original,1649030025,635,9bfc30f5296211634f737326e1308ca9,6e496958,b6f9e2ef4c400d5ad20d9660e57c1a1a42bb7b9e,Dublin Core,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft_djvu.txt,derivative,1697474696,683201,5cf891c2ac114308cc57311e0c66fb51,3af437fc,4e38ae0f23d7711fb7a7f1b02dedf0980e362cb6,DjVuTXT,,frenchenglishmed00gorduoft_djvu.xml,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft_djvu.xml,derivative,1697469940,6312203,0004058e0b0f91c9085bc197ec6962e1,3970dc59,be9ba66494119898b6a00846d0aadb47faadbda0,Djvu XML,,frenchenglishmed00gorduoft_hocr.html,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft_files.xml,original,,,e3e8aae1bc39ace29a7bce625d15b6cd,,,Metadata,,,,,,,,,md5,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft_hocr.html,derivative,1697469700,13131095,6b27ac0b02c6a2061bf273bb225c8829,9a85f2ce,24ae850d3d40ce7e3d1fc665cc11361e6ab2a44b,hOCR,,frenchenglishmed00gorduoft_chocr.html.gz,,,0.0.21,abbyy-to-hocr 1.1.37,,,,1.2.0,1.1.45,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft_hocr_pageindex.json.gz,derivative,1697470105,2229,e0e3d42855604be37a3a676789f81d7c,0438ab17,df846ae1b99c8b591a2b9461c7fcc54fc97c358a,OCR Page Index,,frenchenglishmed00gorduoft_hocr.html,,,,,,,,,,1.0.0,1.1.15,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft_hocr_searchtext.txt.gz,derivative,1697470668,236715,5ce241f7523be5b119350430ba440680,cea2e132,82efc54100ebdd0bacab0b918fc020aa5cddca33,OCR Search Text,,frenchenglishmed00gorduoft_hocr.html,,,,,,,,,,,,1.1.0,1.1.15,1667,3623,7443,7412,10457,9349,9065,7295,4678,7434,,,
frenchenglishmed00gorduoft_jp2.zip,derivative,1292845522,92470377,66f95c8ff617e7605660c64b495f36ab,ddbe8b6c,3adbc3b10efec06eccd3951e0713cb0aa97c84b8,Single Page Processed JP2 ZIP,,frenchenglishmed00gorduoft_orig_jp2.tar,,,,,,184,,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft_marc.xml,original,1206413132,2692,f7ec6f558f81794407deac756f496adf,e46198d3,991b5a1af1e5bd035c26359cc372b45a14fc3a29,MARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft_meta.mrc,original,1206413132,697,7b540dc4bea1730281e1bad7d11a51d7,a5f54578,ad207fe2ce9ddf0dc5182484921914a51f5c6749,MARC Binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft_meta.sqlite,original,1462970475,6144,178f9f7611cd963c9343efdc72654b45,74ec11e3,86f6eebdb9ef1d095b5f78aa89f344a42e2fddcd,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft_meta.xml,original,1742368886,2815,6ba210761c372e0e44d2b3cf7c041667,1bbd9058,1680653161f24c7cfc30e7ec3bf0967db899f760,Metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft_metasource.xml,original,1206413132,379,7d1813d969a7fddcd8a86ad2e6bb5439,62279d5e,7dba620e52975e5fd96a6d729f1c445e84d517bd,MARC Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft_orig_jp2.tar,original,1206548380,136222720,ccbc28c29ff8675e8e8dc300276a5cc0,d21fcaf1,4c040512088967a764160a4316f4317d6a3e8b64,Single Page Original JP2 Tar,,,,,,,,184,,,,,,,,,,,,,,,,,,,,
frenchenglishmed00gorduoft_page_numbers.json,derivative,1697470962,29840,6a578c55b2558ef64f22c5456e800cd3,c2e42e41,d8b8c627c35838b0ae7493968a38264ba5e2256d,Page Numbers JSON,,frenchenglishmed00gorduoft_hocr.html,,,,,,,,,,,,,,,,,,,,,,,,1.0.3,1.1.54,97
frenchenglishmed00gorduoft_scandata.xml,original,1697469453,95617,26cef38138532cfbdf903fde0659b7e4,2ccaadc2,8e1622749383d4853c6787ed1ba094febcf29122,Scandata,,,,,,,,,,,,,,,,,,,,,,,,,,,,
